superconduct/table50.range_ElectronAffinity,superconduct/table50.wtd_mean_ElectronAffinity,superconduct/table50.wtd_range_ElectronAffinity
46.1,13.71,2.67
141.0,93.2475,71.1
141.0,108.440615384615,76.7215384615385
138.63,101.848461538462,76.5819230769231
125.3,76.275,32.615
75.63,41.374,31.026
135.97,111.822184285714,81.2951728571429
127.2,81.7166666666667,36.975
105.9,118.85,70.20625
12.9,39.825,15.075
127.05,108.327786377709,75.5665634674922
135.97,111.472285714286,81.242
80.8,44.9571428571429,14.3571428571429
118.4,20.0104,18.309
103.0,93.8333333333333,34.3333333333333
141.0,108.759384615385,76.7255769230769
138.63,74.1057142857143,46.8271428571429
127.05,110.640432098765,75.5343364197531
32.9,93.1925,62.6875
135.97,110.64,80.4957142857143
84.0,39.3666666666667,7.16666666666666
169.0,143.833333333333,69.7666666666667
135.97,108.304363636364,76.7774545454545
135.97,105.367846153846,76.5298461538462
138.63,110.555269230769,76.7158846153846
127.05,108.6484375,73.2890625
56.1,10.8952,6.7224
91.0,113.271428571429,80.325
138.63,63.165,29.365
104.45,43.45292,30.88876
135.97,73.67,51.805
121.4,104.55,65.8833333333333
85.6,103.9,35.6272727272727
83.2,75.0666666666667,62.0
46.1,178.45,23.05
121.8,119.490697674419,97.9744186046512
127.05,110.738461538462,74.3538461538461
153.9,24.8968,17.0592
179.3,106.85,89.65
71.9,49.4333333333333,48.4333333333333
197.63,109.682938461538,76.6831384615385
141.0,92.5300120048019,73.9105642256903
127.2,78.53,30.0533333333333
141.0,63.2035714285714,34.2142857142857
59.7,101.25,84.0833333333333
127.05,83.5142857142857,46.9714285714286
54.3,179.176333333333,125.732
146.3,153.8,81.25625
95.6,52.625,21.625
0.0,1.5,0.0
141.0,111.917,81.4264285714286
127.05,108.387261848528,72.7550779404818
127.05,109.859683794466,74.096837944664
184.3,105.43,68.08
62.3,50.3333333333333,20.7666666666667
138.63,62.87125,36.6525
59.4,48.0,10.4
277.1,160.242857142857,59.775
135.97,69.864375,35.216875
62.3,48.36,24.92
132.9,108.368421052632,65.9473684210526
138.63,110.97108544328,76.9500114740304
135.97,80.77,51.805
141.0,109.827692307692,76.7192307692308
