Key_0_0,own_telephone,existing_credits,other_payment_plans,Key_1_2
664,yes,2.0,none,812
369,none,1.0,none,793
184,none,1.0,none,872
500,none,1.0,none,230
792,none,2.0,none,879
843,yes,1.0,none,755
881,none,1.0,none,969
283,yes,1.0,none,229
375,none,1.0,none,970
405,none,2.0,none,93
3,none,1.0,none,16
259,none,1.0,none,177
537,yes,1.0,none,377
136,none,2.0,none,660
529,none,1.0,none,714
962,none,1.0,none,821
90,none,2.0,none,499
20,none,3.0,bank,788
915,yes,1.0,none,734
209,yes,1.0,none,8
988,yes,3.0,none,312
8,none,1.0,none,380
153,none,2.0,none,901
175,none,1.0,none,91
688,none,2.0,none,58
723,yes,1.0,bank,917
967,none,1.0,none,298
736,none,2.0,none,359
918,none,1.0,none,739
360,yes,2.0,none,178
76,yes,1.0,bank,965
132,none,1.0,stores,240
43,yes,2.0,none,679
248,none,1.0,none,960
195,yes,1.0,bank,559
828,none,2.0,none,219
41,yes,1.0,bank,361
808,none,1.0,stores,81
112,yes,1.0,none,265
323,none,1.0,none,759
134,none,1.0,bank,202
617,yes,1.0,none,291
767,yes,1.0,none,50
972,none,2.0,none,710
344,none,2.0,stores,980
231,none,2.0,none,536
789,none,1.0,none,530
535,yes,1.0,none,948
160,none,2.0,none,506
588,none,1.0,none,681
131,none,1.0,bank,185
221,yes,2.0,none,841
886,none,1.0,none,246
89,yes,1.0,none,840
106,yes,2.0,bank,27
156,none,1.0,stores,830
191,yes,1.0,none,432
486,none,2.0,stores,272
445,none,1.0,none,475
634,yes,2.0,none,254
805,yes,1.0,bank,451
496,yes,2.0,none,826
871,yes,1.0,none,854
318,yes,1.0,none,142
178,yes,1.0,none,268
115,yes,4.0,none,374
646,none,1.0,bank,454
51,none,1.0,none,321
718,yes,1.0,stores,414
219,none,1.0,none,416
408,none,1.0,bank,554
449,yes,2.0,none,151
867,yes,2.0,bank,300
378,none,2.0,bank,417
151,yes,1.0,none,433
357,none,2.0,none,905
547,none,1.0,none,437
109,none,1.0,none,436
889,none,1.0,none,218
472,none,1.0,none,607
320,yes,2.0,none,428
107,yes,1.0,stores,517
461,none,1.0,none,634
430,yes,1.0,none,280
544,none,1.0,none,422
446,yes,2.0,none,47
546,none,2.0,none,538
161,yes,1.0,none,45
666,yes,1.0,none,993
902,none,2.0,none,457
720,none,1.0,none,975
755,none,1.0,none,48
506,none,1.0,bank,284
42,none,2.0,none,296
