ESA_Amperage,timestamp,unit_number
0.0,19910108,2.0
0.0,19910109,2.0
0.0,19910104,9.0
0.0,19910104,9.0
0.0,19910111,2.0
0.0,19910104,2.0
0.0,19910111,2.0
0.0,19910111,9.0
0.0,19910112,7.0
0.0,19910114,2.0
0.0,19910114,9.0
0.0,19910111,2.0
0.0,19910117,7.0
0.0,19910125,7.0
0.0,19910117,2.0
0.0,19910103,9.0
0.0,19910129,5.0
0.0,19910129,1.0
0.0,19910123,5.0
0.0,19910123,1.0
0.0,19910130,2.0
0.0,19910130,9.0
0.0,19910117,2.0
0.0,19910127,2.0
0.0,19910131,9.0
0.0,19910201,9.0
0.0,19910130,9.0
0.0,19910130,2.0
0.0,19910201,2.0
0.0,19910118,2.0
0.0,19910206,2.0
0.0,19910206,9.0
0.0,19910206,2.0
0.0,19910206,7.0
0.0,19910208,2.0
0.0,19910211,1.0
0.0,19910215,2.0
0.0,19910113,2.0
0.0,19910213,9.0
0.0,19910212,9.0
0.0,19910212,2.0
0.0,19910211,1.0
0.0,19910214,9.0
0.0,19910214,2.0
0.0,19910214,2.0
0.0,19910214,9.0
0.0,19910213,2.0
0.0,19910215,2.0
0.0,19910215,7.0
0.0,19910221,9.0
0.0,19910223,2.0
0.0,19910223,2.0
0.0,19910220,2.0
0.0,19910220,9.0
0.0,19910216,9.0
0.0,19910213,9.0
0.0,19910215,7.0
0.0,19910215,2.0
0.0,19910220,7.0
0.0,19910304,2.0
0.0,19910303,9.0
0.0,19910301,2.0
0.0,19910301,9.0
0.0,19910309,2.0
0.0,19910306,2.0
0.0,19910311,2.0
0.0,19910311,9.0
0.0,19910227,7.0
0.0,19910302,9.0
0.0,19910307,9.0
0.5,19910308,2.0
0.0,19910307,2.0
0.0,19910310,2.0
0.0,19910227,2.0
0.0,19910307,1.0
0.0,19910307,10.0
0.0,19910307,5.0
0.0,19910317,9.0
0.0,19910314,5.0
0.0,19910309,9.0
0.0,19910316,9.0
0.0,19910314,1.0
0.0,19910318,2.0
0.0,19910318,9.0
0.0,19910319,9.0
0.0,19910319,7.0
0.0,19910322,2.0
0.0,19910325,7.0
0.0,19910320,2.0
0.0,19910322,9.0
0.0,19910323,2.0
0.0,19910323,9.0
0.0,19910402,7.0
0.0,19910404,1.0
0.0,19910330,2.0
0.0,19910330,9.0
0.0,19910405,2.0
0.0,19910405,9.0
0.0,19910327,2.0
0.0,19910327,9.0
0.0,19910402,2.0
0.0,19910402,9.0
0.0,19910406,1.0
0.0,19910406,5.0
0.0,19910511,2.0
0.0,19910501,2.0
0.0,19910502,9.0
0.0,19910502,2.0
0.0,19910503,2.0
0.0,19910503,7.0
0.0,19910507,7.0
0.0,19910508,7.0
0.0,19910517,2.0
0.0,19910517,9.0
0.0,19910505,5.0
0.0,19910507,7.0
0.0,19910507,2.0
0.0,19910505,1.0
0.0,19910409,2.0
0.0,19910415,2.0
0.0,19910416,7.0
0.0,19910426,2.0
0.0,19910426,7.0
0.0,19910422,7.0
0.0,19910426,2.0
0.0,19910426,7.0
0.0,19910428,9.0
0.0,19910428,2.0
0.0,19910419,2.0
0.0,19910419,9.0
0.0,19910415,2.0
0.0,19910415,9.0
0.0,19910409,9.0
0.0,19910409,2.0
0.0,19910426,2.0
0.0,19910430,7.0
0.0,19910423,9.0
0.0,19910605,2.0
0.0,19910604,2.0
0.0,19910604,9.0
0.0,19910605,9.0
0.0,19910603,2.0
0.0,19910603,9.0
0.0,19910529,2.0
0.0,19910524,9.0
0.0,19910524,2.0
0.0,19910430,9.0
0.0,19910430,2.0
0.0,19910531,7.0
0.0,19910529,9.0
0.0,19910524,2.0
0.0,19910524,9.0
0.0,19910528,1.0
0.0,19910604,9.0
0.0,19910610,2.0
0.0,19910610,9.0
0.0,19910611,2.0
0.0,19910611,9.0
0.0,19910614,2.0
0.0,19910614,2.0
0.0,19910614,9.0
0.0,19910614,9.0
0.0,19910627,2.0
0.0,19910626,9.0
0.0,19910622,2.0
0.0,19910619,9.0
0.0,19910618,2.0
0.0,19910617,1.0
0.0,19910609,9.0
0.0,19910609,2.0
0.0,19910607,9.0
0.0,19910707,9.0
0.0,19910707,10.0
0.0,19910629,2.0
0.0,19910706,9.0
0.0,19910706,2.0
0.0,19900514,9.0
0.0,19900509,9.0
0.0,19900511,1.0
0.0,19900518,9.0
0.0,19900414,2.0
0.0,19900418,9.0
0.0,19900418,2.0
0.0,19900606,7.0
0.0,19900606,2.0
0.0,19900507,9.0
0.0,19900409,2.0
0.0,19900524,1.0
0.0,19900425,9.0
4.0,19900418,5.0
0.0,19900409,7.0
0.0,19900417,2.0
0.0,19900606,9.0
0.0,19900606,2.0
0.0,19900517,2.0
0.0,19900426,9.0
0.0,19900426,2.0
0.0,19900505,7.0
0.0,19900507,1.0
0.0,19900507,10.0
0.0,19900507,2.0
0.0,19900507,5.0
0.0,19900510,2.0
0.0,19900517,9.0
0.0,19900517,2.0
0.0,19900507,9.0
0.0,19900507,2.0
0.0,19900606,7.0
0.0,19900603,2.0
0.0,19900617,7.0
0.0,19900602,2.0
0.0,19900608,6.0
0.0,19900608,1.0
0.0,19900615,9.0
0.0,19900615,2.0
0.0,19900612,2.0
0.0,19900612,9.0
0.0,19900615,9.0
0.0,19900615,2.0
0.0,19900606,9.0
0.0,19900606,2.0
0.0,19900606,2.0
0.0,19900614,1.0
0.0,19900614,6.0
0.0,19900621,7.0
0.0,19900622,9.0
0.0,19900622,2.0
0.0,19900611,9.0
0.0,19900611,2.0
0.0,19900622,6.0
0.0,19900626,7.0
0.0,19900625,2.0
0.0,19900622,2.0
0.0,19900625,6.0
0.0,19900625,9.0
0.0,19900625,2.0
0.0,19900702,9.0
0.0,19900706,9.0
0.0,19900705,2.0
0.0,19900330,7.0
0.0,19900707,2.0
0.0,19900708,2.0
0.0,19900710,2.0
0.0,19900710,7.0
0.0,19900710,9.0
4.0,19900710,5.0
0.0,19900710,1.0
0.0,19900706,2.0
0.0,19900710,9.0
0.0,19900710,2.0
0.0,19900710,10.0
0.0,19900710,9.0
0.0,19900726,2.0
0.0,19900727,2.0
0.0,19900726,7.0
0.0,19900723,7.0
