miniboone/table_1_1.ParticleID_30,miniboone/table_1_1.ParticleID_40,miniboone/table_1_1.ParticleID_47,miniboone/table_1_1.Key_1_1,Key_0_0
5.60075,108.109,1.04904,56434,42499
5.9042900000000005,126.345,0.8822180000000001,16232,27126
8.1774,91.7991,1.95261,62713,38650
5.7026,109.925,1.5981299999999998,67663,33282
8.66239,164.30200000000002,2.93116,69557,61188
9.04018,223.502,5.42089,19642,41394
8.55392,155.172,2.18048,58813,9832
4.89113,91.0254,1.2436,46015,7652
10.1965,168.993,2.95621,69163,61027
6.641030000000001,180.10299999999998,1.31497,43649,11909
4.39319,80.4177,0.509188,25791,38048
10.1925,153.0,4.13607,19801,42790
8.91757,143.504,2.56317,43497,52154
4.49485,107.928,0.237312,51732,51854
7.22842,165.46,2.79378,29770,23334
8.16239,189.24400000000003,3.61993,44423,72007
5.13451,115.652,1.99322,37321,41784
7.82783,192.332,5.66717,70027,31541
6.0562,116.005,1.49633,3829,20179
6.86238,94.185,1.31309,55892,46924
6.288880000000001,152.447,2.46389,66871,32355
6.22644,145.63,1.5696,57388,55198
5.04439,92.8206,1.2009,47539,2906
4.57635,84.8502,0.709871,29190,6308
8.22781,156.21200000000002,3.05887,54353,42094
7.498880000000001,209.356,4.23104,29924,31064
6.15404,142.42600000000002,0.690539,28427,48032
9.61591,190.074,4.25657,33813,41970
4.2798,143.321,0.783547,30281,42412
4.81267,132.045,0.714874,17860,38875
5.49441,113.601,2.29567,43366,23096
4.6447,97.239,0.778262,15153,44568
6.0774,161.689,1.26795,63361,30227
9.74745,190.288,2.78072,58187,61424
4.57356,123.702,1.77741,26685,51871
6.28977,126.785,2.35379,68844,151
7.279539999999999,165.94799999999998,2.20875,56518,29861
4.9532,69.1005,0.726075,18616,72197
5.75806,133.22299999999998,2.5142,72652,36428
5.26318,156.336,1.40337,61417,1989
9.06304,186.341,3.15938,72229,30826
7.384530000000001,173.03400000000002,2.5888400000000003,33425,13365
6.69372,146.619,1.70576,72775,45867
6.06515,123.186,1.10288,43515,59237
11.5093,120.247,2.47615,32790,26709
5.0924,95.1275,1.26418,25814,31932
5.82761,109.527,1.49174,4475,18576
5.64153,117.268,2.57267,31340,64145
4.54904,71.1539,0.935216,34145,23518
5.692769999999999,152.92600000000002,1.05904,55053,17000
8.10398,186.183,5.05941,65967,35752
4.31053,77.7619,0.557782,28943,2183
8.28325,143.899,3.38047,10910,16103
17.5836,178.808,3.81453,3246,19292
7.00766,145.358,2.57048,48161,71599
5.3571,128.285,1.5860299999999998,39158,65775
8.78917,152.76,4.06189,22839,1801
7.55708,175.96,4.565930000000001,22610,14141
6.12324,162.18200000000002,1.10841,62699,44468
5.12317,119.421,0.7594489999999999,62769,51868
5.05646,142.813,1.14427,56487,38182
11.2775,155.635,5.203869999999999,44649,56460
6.0053,106.183,2.11281,29305,10533
6.68322,119.775,0.953899,17833,14782
9.13652,162.024,3.77704,41015,16212
7.285360000000001,124.272,3.10248,49871,17693
10.0308,195.847,8.007019999999999,32022,46580
7.97651,161.86,2.80485,43223,28792
5.19465,197.548,0.5833689999999999,10256,29603
8.26624,143.81,2.90423,33340,25850
4.6833,133.21,0.8807860000000001,52233,12373
6.20562,186.252,3.51744,3743,22407
6.00588,184.925,1.69563,63182,36709
8.013689999999999,146.792,1.50069,32535,32037
10.7579,187.047,7.77378,54219,5624
4.15273,169.704,1.36874,48428,3196
8.60173,126.012,2.6282400000000004,54197,2990
9.10208,194.516,2.67765,7800,30347
4.51655,126.208,0.869642,44560,56150
9.28259,162.344,4.63198,54000,32331
6.00659,117.154,1.16066,29630,31142
5.1234,141.297,0.605487,38399,44702
6.23122,156.136,2.28743,20862,19281
3.74127,165.25799999999998,0.808187,1258,6138
5.62448,152.003,1.79653,7838,24792
6.799689999999999,145.2,1.69659,60056,4511
5.32092,126.756,1.3519,61307,53036
5.99495,112.175,2.2650900000000003,9829,50417
11.186,120.983,4.00828,69441,45353
6.13614,127.105,1.72876,62736,14973
19.3517,240.14,4.93501,32286,38232
5.081919999999999,106.439,0.600074,61933,61782
9.15912,151.91899999999998,2.54544,33052,47439
5.15181,104.376,1.28335,19549,28825
9.04341,123.912,3.31454,35683,67046
6.86463,146.891,2.91555,69821,28753
7.48641,149.153,2.47631,59858,60103
8.62331,141.358,2.57318,58005,24480
7.41268,174.96400000000003,1.93613,25616,58514
4.97477,166.364,0.8509700000000001,33557,17634
6.58144,156.57,1.31689,37024,19796
6.3033,119.806,2.2526200000000003,55735,30401
7.513789999999999,126.152,3.64344,33315,49377
4.677969999999999,157.32,1.03524,69420,25856
4.97239,227.951,1.4947700000000002,70129,38890
8.39782,128.612,1.22589,28119,21045
7.00333,64.3352,0.8043020000000001,31173,31983
6.92201,133.705,2.66669,61293,38401
7.503439999999999,176.97099999999998,6.4608,54848,56349
5.28713,116.146,0.903846,52866,827
14.8416,125.468,5.49783,50125,15745
6.569139999999999,127.649,1.35066,21291,16500
3.75645,86.8222,0.683221,13692,41353
6.39594,78.3386,1.08057,5468,29870
5.37488,132.53799999999998,1.08152,43927,64490
7.97078,166.322,2.34491,31934,13987
4.89272,108.258,1.0102,57672,43073
12.3275,156.981,4.87479,25509,53956
12.086,178.30700000000002,7.750389999999999,18286,46473
4.28307,153.703,1.64871,15708,14946
8.74422,154.02200000000002,2.31516,22447,17118
9.38351,130.26,2.59767,6997,7572
5.1732,125.016,0.7223689999999999,50646,66835
7.67582,143.80200000000002,3.91394,11775,725
6.42127,164.39700000000002,0.986748,25094,61565
5.42486,91.4927,1.17152,10179,12561
9.29348,157.969,4.33548,15923,1180
6.0371,199.177,2.04226,39826,67826
10.6498,140.352,4.65832,66610,23554
5.67327,151.034,1.47675,57081,14502
7.4386,148.906,0.5050359999999999,2487,61766
5.61008,157.217,0.8964260000000001,71931,67663
8.44004,178.899,1.9549,58916,70733
7.82694,153.536,2.3466400000000003,54628,60426
6.68774,181.541,1.2078,66533,4671
7.29075,129.293,2.465,24600,46706
5.56749,99.3814,0.778036,13535,45063
