Key_1_3,ParticleID_5,ParticleID_12,ParticleID_46,Key_2_11
24459,0.120071,0.895834,0.377589,52508
41661,0.14015,0.0384535,0.0528733,11494
69730,0.400041,0.90418,0.20794,25285
45322,0.163919,0.6661,0.452466,28228
38657,0.0245231,-0.0794228,-0.866685,68767
30893,0.032124,0.302742,-0.604703,47143
19545,0.0383834,0.4806109999999999,0.364458,37228
16346,0.0,0.606383,-1.04036,58630
58378,0.1057839999999999,-0.36358,0.297583,21713
36318,0.158076,0.404342,-1.17075,40091
25131,0.0930516,-0.141713,-0.152225,31322
31728,0.430585,0.933261,0.0379694,46951
53202,0.1490119999999999,0.67168,-0.0557612,41209
18525,0.0,0.693738,-0.0908154,61238
61676,0.11514,0.7914680000000001,-0.5632050000000001,29587
55395,0.130365,0.931632,-1.09092,34203
6617,0.0,-0.5951420000000001,-0.014125,63903
46336,0.2183659999999999,0.7211989999999999,0.263396,29192
64691,0.146964,-0.212186,0.58302,6523
37577,0.100999,0.8977209999999999,-1.6161299999999998,44091
42520,0.155962,-0.0911184,0.401784,29496
65360,0.0417141,0.550316,0.129789,49065
18589,0.0588001,0.415622,0.6649430000000001,24286
62707,0.0289489,0.400165,-0.647245,55921
69997,0.154019,0.893249,0.504272,44629
33158,0.131775,0.823248,-0.0675781999999999,15310
52988,0.153589,0.490295,-0.415664,40807
38025,0.0312757,0.688026,-0.8308270000000001,47558
49470,0.123179,0.501012,0.153651,7772
12446,0.17232,0.326732,-0.0647409,25015
3243,0.0,0.736064,-0.7328359999999999,25880
11904,0.1473799999999999,0.895835,0.319486,20810
11889,0.159679,0.506319,-1.2982200000000002,63683
12538,0.0,0.861135,-0.6134430000000001,57830
24945,0.161801,0.982625,0.273054,66032
31173,0.1193029999999999,-0.708163,0.128132,18067
67897,0.279481,0.796826,0.358684,14868
55136,0.180362,-0.174704,0.405842,42357
12814,0.126971,0.395151,0.181225,7346
15412,0.353055,0.954785,-0.0517781999999999,58793
4281,0.0,0.588067,0.785508,24789
23756,0.184165,0.67213,0.240611,43076
37121,0.219707,0.91144,0.226688,12670
33984,0.146394,0.774452,0.239479,10273
9202,0.172725,0.907743,-1.09348,65822
72856,0.149264,0.792841,0.400597,10648
69521,0.11554,-0.957983,0.455916,40706
40061,0.109215,-0.213531,-0.0516790999999999,33661
51558,0.244792,0.960523,0.452993,37558
45331,0.127645,0.893596,-0.227036,42662
16818,0.16283,0.555508,0.401938,21087
65431,0.115994,0.8597940000000001,0.467289,48621
1277,0.0604020999999999,0.0813413,-3.19034,60540
1338,0.153795,0.761966,0.141424,45157
63575,0.13407,0.938231,0.241304,56293
72748,0.135262,0.784339,0.194348,53572
71229,0.093108,0.616388,0.6014,56615
62185,0.149679,0.500159,0.1822,61938
6622,0.132446,0.919287,-0.752768,48651
67089,0.120197,0.309563,1.27259,34127
8164,0.042191,0.152769,0.781513,17586
32856,0.0851833,0.998768,1.53006,9981
69920,0.151725,0.783702,0.450158,34293
12793,0.133683,0.101292,0.164656,70278
58072,0.174904,0.7927,0.304836,41090
64977,0.143442,-0.909587,0.0854302,32836
36316,0.11337,0.69711,-0.805149,40126
41173,0.1298609999999999,-0.349143,0.157689,61576
51707,0.115388,0.976737,0.329502,4035
21873,0.0776494,-0.338751,-7.17047,61271
14823,0.135076,-0.0351904,0.260652,22555
23263,0.0,-0.5241060000000001,0.7212,36616
30705,0.154831,0.987516,0.6028220000000001,29597
67983,0.106637,0.0502082,-7.106380000000001,7525
40470,0.1152099999999999,-0.52447,-0.659265,21869
65356,0.150505,0.811963,-0.33145,17257
29775,0.137128,0.29165,0.245538,33544
52448,0.294982,0.771473,0.2442659999999999,69182
56994,0.0,0.59767,-0.188442,18496
17789,0.360128,0.942776,0.490518,28990
67063,0.166592,0.5853109999999999,-0.19784,69902
9857,0.0549609,-0.146625,-0.5063529999999999,69883
12412,0.120476,-0.0189285999999999,0.48688,31569
68224,0.1660589999999999,0.895825,-1.02805,20943
34974,0.0756228999999999,0.8634219999999999,-0.7620239999999999,60372
53140,0.154659,-0.0928736,0.0349825999999999,38544
70589,0.0432794,0.610846,0.0501332,33712
