miniboone/table_1_3.ParticleID_17,miniboone/table_1_3.ParticleID_1,miniboone/table_1_3.ParticleID_32,miniboone/table_1_3.Key_1_3,Key_0_0
3.41205,1.84867,0.439763,26725,42499
2.82318,1.24749,0.3798809999999999,37406,27126
77.5216,1.7217,0.709555,47772,38650
70.5536,1.86554,0.7426699999999999,33190,33282
14.3674,0.984304,0.3386659999999999,29032,61188
37.7501,1.40629,1.53989,38224,41394
12.5272,1.70849,0.727587,26032,9832
16.7295,1.75417,1.19497,41501,7652
7.1151100000000005,2.05289,2.27326,28535,61027
5.97362,0.391746,0.224077,35755,11909
141.781,0.790216,2.60289,57123,38048
130.007,1.14465,1.0862,23896,42790
5.87253,1.39866,0.574138,5422,52154
20.7213,0.519075,0.4175979999999999,8350,51854
17.1175,0.521055,0.246626,32244,23334
42.2662,1.18296,2.18305,964,72007
24.2791,1.6614400000000002,0.910025,13779,41784
63.7503,2.49688,3.28035,20829,31541
70.2173,2.0287900000000003,1.06058,25293,20179
27.1167,2.35076,3.1404400000000003,2441,46924
13.9161,2.07717,1.44632,44366,32355
4.24219,0.952569,0.181876,19083,55198
35.9372,1.5008,1.22293,27746,2906
13.8664,1.94913,0.7516729999999999,37238,6308
8.59825,0.514796,0.630549,42041,42094
40.2385,1.33333,1.6645299999999998,70320,31064
10.6199,0.402387,0.350387,515,48032
5.008319999999999,2.54591,1.09997,38900,41970
15.6474,0.670654,0.359168,10045,42412
7.751010000000001,0.878132,0.328661,21009,38875
15.1172,1.49973,0.977901,9580,23096
14.0857,0.957029,1.4604700000000002,55812,44568
50.6784,0.465787,1.05285,70691,30227
49.255,0.0919828,0.6787479999999999,61236,61424
4.31294,2.66323,1.19624,62444,51871
2.27505,1.70888,0.508308,14298,151
9.56944,0.7626930000000001,0.581446,18196,29861
8.63075,1.608,0.595166,32150,72197
19.6208,1.33417,0.303363,44191,36428
41.1065,0.353485,0.4644149999999999,14457,1989
40.3423,2.4210700000000003,2.71648,59231,30826
15.0765,0.342586,0.322051,4064,13365
28.4308,0.751892,0.781826,46897,45867
