ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,New Georeferenced Column,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
288,K247,20K247,PS 247(BROOKLYN),K247,7000 21st AVENUE,K,20,883,,1,PS 247(BROOKLYN),0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-76.974907 38.974981),10889,,,,
335,K281,21K281,IS 281(BS),K281,8787  24th AVENUE,K,21,1342,,1,IS 281(BS),0,6,9,2,2,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-104.885878 39.751528),20975,,,,
359,K298,23K298,PS 298(BROOKLYN),K298,85 WATKINS STREET,K,23,205,,1,PS 298(BROOKLYN),0,0,3,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-73.908193 40.670936),17614,55,2,37,46
390,K318,14K318,JHS 318(BN),K318,101 WALTON STREET,K,14,1230,,1,JHS 318(BN),0,2,1,2,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-79.670906 34.623679),27087,,,,
400,K327,23K327,PS 327(BROOKLYN),K327,111 BRISTOL STREET,K,23,299,,1,PS 327(BROOKLYN),1,1,4,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-72.931594 41.315558),13460,,,,
421,K369,75K369,P369(BN),K369,383 STATE STREET,K,15,646,,1,P369(BN),0,5,2,0,5,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-67.988924 46.685108),15514,,,,
453,K410,21K410,ABRAHAM LINCOLN HS(BS),K410,2800 Ocean Parkway,K,21,1535,,1,ABRAHAM LINCOLN HS(BS),0,6,27,5,1,8C,1501-1750,0.45,2.95,7.14,1.48,1.60,POINT (-73.967408 40.582443),13826,21,2,45,35
576,K728,21K728,LIBERATION DIPLOMA PLUS HS(BS),K728,2865 W.19th St.,K,21,134,,1,LIBERATION DIPLOMA PLUS HS(BS),0,3,6,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-85.908823 39.744135),16009,,,,
648,M020,01M020,PS 20 ANNA SILVER(MANHATTAN),M020,166 ESSEX STREET,M,1,463,,1,PS 20 ANNA SILVER(MANHATTAN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-71.030916 42.387465),16884,,,,
834,M171,04M171,PS 171(MANHATTAN),M171,19 EAST 103 STREET,M,4,685,,1,PS 171(MANHATTAN),0,4,5,2,1,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-76.486176 38.979269),28576,,,,
981,M540,06M540,AP RANDOLPH CAMPUS HS(MN),M540,443 WEST 135TH STREET,M,6,1110,,1,AP RANDOLPH CAMPUS HS(MN),4,3,18,2,4,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-118.281951 33.909157),24355,,,,
1004,M812,05M692,HS FOR MATHEMATICS SCIENCE & ENGINEERING@CITY COLLEGE(MN),M692,240 Convent Ave,M,5,390,,1,HS FOR MATHEMATICS SCIENCE & ENGINEERING@CITY COLLEGE(MN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.948683 40.821297),12428,37,4,36,17
1222,Q190,28Q190,JHS 190(QN),Q190,68-17 AUSTIN STREET,Q,28,1056,,1,JHS 190(QN),1,1,3,0,2,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-71.807361 42.261103),22811,,,,
1282,Q238,29Q238,IS 238(QS),Q238,88-15 182 STREET,Q,29,1411,,1,IS 238(QS),0,2,1,0,1,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-106.619255 35.180771),6577,,,,
1422,R011,31R011,PS 11(SI),R011,50 JEFFERSON STREET,R,31,286,,1,PS 11(SI),0,0,3,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-75.233876 40.027514),6549,,,,
1468,R057,31R057,PS 57(STATEN ISLAND),R057,140 PALMA DRIVE,R,31,631,,1,PS 57(STATEN ISLAND),0,0,5,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-74.083588 40.611627),10691,4,1,13,74
1501,X004,09X004,PS 4(BRONX),X004,1701 FULTON AVENUE,X,9,534,,1,PS 4(BRONX),0,3,1,0,1,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-82.792937 27.982905),8866,,,,
1555,X052,08X052,MS 302(XE),X302,681 KELLY STREET,X,8,498,,1,MS 302(XE),1,1,2,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-93.420618 30.462017),19134,,,,
1678,X127,11X127,MS 127(XE),X127,1560 PURDY STREET,X,11,805,,1,MS 127(XE),0,1,7,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.853575 40.838112),11271,58,5,31,26
1710,X144,11X144,MS 144(XE),X144,2545 GUNTHER AVENUE,X,11,495,,1,MS 144(XE),2,4,20,2,4,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.836063 40.863811),11607,59,5,12,32
1744,X159,10X159,PS 159(BRONX),X159,2315 WASHINGTON AVENUE,X,10,191,,1,PS 159(BRONX),0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-88.404296 33.493327),9792,,,,
1774,X182,08X182,PS 182(XE),X182,601 STICKBALL BOULEVARD,X,8,815,,1,PS 182(XE),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.856456 40.818966),11611,58,5,31,26
1803,X235,09X218,PS 218(BRONX),X218,1220 Gerard Ave,X,9,1004,,1,PS 218(BRONX),0,0,1,0,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-73.920026 40.835855),10930,50,5,42,27
1823,X368,10X368,IN-TECH ACADEMY (MS/HS 368) (XW),X368,2975 TIBBETT AVENUE,X,10,912,,1,IN-TECH ACADEMY (MS/HS 368) (XW),1,5,10,5,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.910655 40.878795),11272,48,4,39,33
1859,X423,12X478,THE CINEMA SCHOOL(BRONX),X478,1551 East 172 St.,X,12,230,1551 East 172 St. CONSOLIDATED LOCATION,2,Mott Hall V |  THE CINEMA SCHOOL |  1551 EAST 172ND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-119.802421 36.735587),27981,,,,
