DBN,School Name,School Type,Overall Score,Overall Grade,Overall Rank,Progress Grade,Performance Grade,Environment Grade,College and Career Readiness Grade,Closing the Achievement Gap Points,Principal,Enrollment,Average English Proficiency,Average Math Proficiency,% Students with Disabilities,% Self-Contained,% Overage,% Black or Hispanic,% ELL
25Q540,Queens Academy High School,High School Transfer,60.8,B,24,B,B,F,A,10.7,Beverly Short,421,2.64,2.46,0.128,0.021,0.548,0.841,0.081
25Q792,North Queens Community High School,High School Transfer,67.7,B,16,B,B,C,B,12.2,Winston Mccarthy,215,2.77,2.51,0.195,0.056,0.789,0.781,0.014
28Q338,Queens Satellite High School for Opportunity,High School Transfer,53.2,C,29,B,C,C,C,6.1,Mark Melkonian,265,2.64,2.42,0.079,0.019,0.756,0.581,0.008
31R470,Concord High School,High School Transfer,70.6,A,12,B,B,A,C,10.8,Ron Gorsky,181,2.53,2.32,0.232,0.066,0.663,0.779,0.011
32K564,Bushwick Community High School,High School Transfer,32.2,F,44,C,F,D,F,5.8,Llermi Gonzalez,328,2.33,2.19,0.165,0.037,0.816,0.985,0.034
84K395,Roads Charter School I,High School Transfer,,,,,,,,,Travis Brown,169,2.39,2.32,0.355,0.26,0.662,0.994,0.041
84K417,Urban Dove Charter School,High School Transfer,,,,,,,,,Marianne Rossant,101,2.4,2.4,0.347,0.109,0.556,0.99,0.04
84K486,New Dawn Charter High School,High School Transfer,,,,,,,,,"Sara M. Asmussen, Ph.D., Executive Direc",152,2.44,2.37,0.329,0.118,0.764,0.901,0.105
84M707,John V. Lindsay Wildcat Academy Charter School,High School Transfer,66.3,B,19,A,C,C,C,9.2,Ron Tabano/Marc Donald,497,2.37,2.23,0.304,0.117,0.735,0.978,0.062
84X200,ROADS Charter School II,High School Transfer,,,,,,,,,Seth Litt,174,2.34,2.24,0.42,0.333,0.859,0.966,0.121
