Key_0_0,ParticleID_0,ParticleID_48,ParticleID_37,Key_1_2
48633,6.71799,4.5865800000000005,-2.97682,18443
26486,6.283919999999999,1.11028,-2.26237,8239
71275,3.5089,-0.201779,-4.01251,71728
19584,5.0489,1.1982,-4.3675,23660
21123,5.89708,-0.145495,-1.43783,19518
53424,6.26478,2.04437,-2.34018,54378
37241,4.27594,0.89287,-2.85971,34437
31833,6.344,0.224069,-1.52059,34463
12299,5.93613,2.42809,-3.0019400000000003,6109
57230,5.93497,-0.0850468,-2.09849,21156
55840,7.90781,7.70022,-2.0472900000000003,15360
37824,3.19396,0.514614,-1.98591,72215
36093,3.831280000000001,1.07646,-1.7267099999999995,64503
21064,3.8541,2.50678,-1.46298,45523
19747,6.00312,3.77608,-1.78467,33239
47679,6.575939999999999,2.09069,-2.79075,57289
62905,5.282369999999999,1.29712,-1.91952,9574
7101,4.60781,0.643994,-3.54442,28848
29824,7.260339999999999,1.907,-1.3871,23068
9608,5.83014,0.296517,-1.35212,71091
9525,6.19193,4.291869999999999,-3.35186,61168
28549,6.458480000000001,4.841069999999999,-0.661474,30341
45648,7.499239999999999,13.3298,-1.3052700000000002,68420
28104,6.03037,0.4577239999999999,-2.17873,37352
2856,4.85186,2.47701,-3.58629,9699
347,5.03745,0.254415,-3.17901,3257
34304,6.15037,0.221657,-2.83717,38282
18775,6.671189999999999,4.92809,-0.883949,61916
10315,4.63975,2.07296,-2.84563,8835
53936,3.6871,1.04185,-3.76172,60725
43534,5.00429,2.13827,-2.24607,4411
49995,4.6346,0.7360270000000001,-2.54042,67931
11723,6.18123,-0.268581,-2.86397,30104
67152,5.43032,1.41791,-1.75002,11581
43568,4.738180000000001,1.41307,-2.83751,9223
7140,4.70576,0.361151,-1.29996,4275
10598,2.84554,0.157966,-2.89258,19260
35284,4.82939,2.15861,-3.50884,19172
22470,4.98168,0.451475,-3.6082,67687
24507,3.69667,0.261292,-4.825130000000001,31966
62491,5.85109,6.38561,-1.16337,63389
54694,3.77202,0.452484,-3.64566,41157
33558,5.2911,1.12102,-3.08268,7813
64466,4.90117,2.28065,-2.0374,5518
26174,5.89396,0.107064,-1.57648,14411
46781,6.06656,2.3221700000000003,-3.00097,2146
21712,5.4055,2.40521,-2.07438,42307
11645,4.79935,2.0741,-2.08963,41314
26903,4.198169999999999,2.0365,-5.15479,16319
37549,5.339519999999999,0.0757557,-3.12834,19230
36996,4.2163,1.46389,-2.84548,19672
60803,5.60787,3.82939,-1.86543,38442
56077,7.27821,-0.0737701,-1.37037,36150
15814,5.65289,3.05524,-3.40516,6817
3198,4.364,0.174296,-3.35102,72995
61614,5.506390000000001,3.13245,-2.17287,14750
31230,5.57169,3.34925,-2.44757,40982
41572,5.09788,0.7164,-2.2399,49311
6299,7.631939999999999,2.9995700000000003,-2.4256900000000003,10109
69704,5.62093,1.2844,-2.74545,29492
32497,5.89107,4.23961,-3.11919,56960
71523,5.3401,5.46336,-1.79075,32526
67546,5.82497,3.46038,-3.14491,9055
48371,5.43635,2.53044,-2.78848,15592
38639,4.63783,2.17318,-3.6179,39174
39108,6.45057,3.96897,-2.17015,59727
48058,4.51526,0.208117,-2.13141,4736
2803,4.09011,0.690519,-2.1691,46119
63044,3.4597300000000004,-0.423266,-3.39186,63680
10868,5.86764,-2.56145,-2.448,22280
24332,4.40817,0.121054,-2.82713,69351
39953,5.82332,8.29888,-1.956,5944
67134,4.87955,1.2718200000000002,-2.83351,56489
60880,6.60169,3.2775199999999995,-2.5937900000000003,66282
44235,6.2419,5.22476,-1.93455,53437
9897,5.446330000000001,2.07372,-2.32261,45678
71354,5.8520900000000005,1.91727,-2.25069,17938
20026,4.83504,0.00464361,-3.13041,66451
40024,4.0822,0.511542,-3.13992,29939
38757,4.97681,1.56096,-4.5185,8701
7990,6.06971,0.395187,-2.80718,39144
34460,5.8615,3.2924900000000004,-1.13353,68189
37587,5.20516,3.655980000000001,-3.03059,2506
31799,5.538930000000001,0.427663,-2.68847,36666
9468,8.72911,0.544133,-2.03775,27536
37731,5.35993,1.35825,-1.3683299999999998,28116
33955,4.26503,0.0677063,-3.6597,47023
26681,5.16947,4.06841,-1.37838,38872
67830,4.81835,1.17826,-1.6790200000000002,43451
925,3.48072,-0.44021,-2.81421,29095
