Key_0_0,gmean_atomic_radius,wtd_range_ElectronAffinity,mean_ElectronAffinity,wtd_std_FusionHeat,std_FusionHeat,Key_1_2
11446,136.126003095455,80.9871428571429,81.8375,4.66691955388659,4.59906411675245,1525
6050,141.465214777999,81.2078571428572,90.89,4.60300005985449,4.47336265464807,7150
7110,136.126003095455,81.2078571428572,81.8375,4.64963546519334,4.59906411675245,18030
19035,136.126003095455,81.0975,81.8375,4.6583013524026,4.59906411675245,18186
14503,136.126003095455,80.7664285714286,81.8375,4.68401395107631,4.59906411675245,13381
6674,136.126003095455,80.325,81.8375,4.71764189624695,4.59906411675245,6944
1957,136.126003095455,79.2214285714286,81.8375,4.79853082958201,4.59906411675245,19007
152,131.302196551623,81.3352857142857,79.6075,4.64963546519334,4.59906411675245,442
18202,131.302196551623,81.2886428571429,79.6075,4.6583013524026,4.59906411675245,2924
19505,131.302196551623,81.242,79.6075,4.66691955388659,4.59906411675245,412
2517,131.302196551623,81.1487142857143,79.6075,4.68401395107631,4.59906411675245,5430
14248,142.479406207726,81.3642857142857,65.77,4.26406804182416,4.50883211486079,14680
10563,141.465214777999,81.2078571428572,90.89,4.62639439101602,4.47336265464807,3638
12568,141.465214777999,81.2078571428572,90.89,4.60300005985449,4.47336265464807,8486
13790,141.465214777999,81.2078571428572,90.89,4.53187371259822,4.47336265464807,14393
12760,141.465214777999,81.2078571428572,90.89,4.41003213464159,4.47336265464807,9306
3403,148.584487396916,76.5819230769231,62.564,5.65961070231647,4.4281001614688,6664
14918,136.126003095455,81.0975,81.8375,4.6583013524026,4.59906411675245,13855
17573,131.302196551623,81.2886428571429,79.6075,4.6583013524026,4.59906411675245,1727
14883,131.302196551623,81.3819285714286,79.6075,4.6409216251314,4.59906411675245,17423
6650,131.302196551623,81.3352857142857,79.6075,4.64963546519334,4.59906411675245,16238
21165,131.302196551623,81.2186785714286,79.6075,4.6712108550183,4.59906411675245,11178
20815,131.302196551623,81.1953571428571,79.6075,4.67549033333862,4.59906411675245,15443
17109,131.302196551623,81.1487142857143,79.6075,4.68401395107631,4.59906411675245,4643
14940,131.302196551623,81.1020714285714,79.6075,4.69249066409866,4.59906411675245,3676
5486,131.302196551623,81.0554285714286,79.6075,4.70092072614178,4.59906411675245,17499
19964,131.302196551623,81.2653214285714,79.6075,4.66261639729963,4.59906411675245,20414
15826,127.382977261505,81.3456428571429,78.9425,4.66929146397076,4.63697970127108,19330
5582,140.611449046856,40.4275,82.3375,2.38405683447354,4.59293378463047,19969
543,140.611449046856,34.8525,82.3375,4.58476834202122,4.59293378463047,8557
16823,140.611449046856,32.6166666666667,82.3375,3.06991187391108,4.59293378463047,10646
16376,159.867522099422,35.59235,64.23,4.58702133742585,3.7824155274404,10394
5007,139.000513752081,44.41,77.2375,5.49400408526321,4.9481552875794,20714
9888,139.000513752081,44.41,77.2375,5.49400408526321,4.9481552875794,406
