all/eyemove_table_1_1.totalFixDur,all/eyemove_table_1_1.prevFixDur,all/eyemove_table_1_1.nextFixDur,all/eyemove_table_1_1.Key_1_1,Key_0_0
179.0,219.0,219.0,5573,1353
119.0,139.0,219.0,607,5612
398.0,99.0,338.0,6143,1122
219.0,179.0,179.0,3811,2041
258.0,179.0,139.0,813,656
239.0,199.0,179.0,170,33
199.0,119.0,139.0,45,2872
199.0,239.0,258.0,99,2997
439.0,119.0,199.0,2029,1463
239.0,259.0,219.0,468,4049
139.0,199.0,219.0,2746,219
99.0,99.0,199.0,854,1754
139.0,179.0,179.0,3798,4724
338.0,179.0,199.0,5086,7100
139.0,179.0,139.0,2838,3435
199.0,139.0,238.0,1039,2118
278.0,258.0,159.0,4288,3588
139.0,99.0,179.0,5882,5887
199.0,239.0,139.0,1218,7006
179.0,179.0,139.0,115,1722
139.0,179.0,139.0,7166,3801
199.0,99.0,139.0,4480,4384
179.0,259.0,179.0,268,188
139.0,239.0,99.0,2914,5133
199.0,0.0,159.0,65,6169
179.0,99.0,239.0,61,705
99.0,99.0,159.0,3448,143
278.0,258.0,258.0,2505,5073
100.0,258.0,199.0,1888,3167
139.0,80.0,159.0,932,2621
358.0,0.0,139.0,5027,3720
179.0,99.0,139.0,2434,7168
199.0,80.0,179.0,398,4630
139.0,199.0,219.0,5569,5796
258.0,159.0,119.0,5496,414
159.0,239.0,139.0,4384,3725
259.0,139.0,80.0,3471,5338
80.0,179.0,219.0,1774,1641
179.0,219.0,238.0,1458,7055
119.0,358.0,179.0,7387,2538
159.0,139.0,179.0,6255,534
119.0,239.0,239.0,151,734
179.0,179.0,219.0,7066,7492
338.0,179.0,239.0,5045,3811
159.0,179.0,239.0,1724,3908
199.0,159.0,159.0,2570,1536
299.0,20.0,179.0,4125,7016
99.0,100.0,179.0,3654,7248
179.0,179.0,139.0,2546,1654
99.0,238.0,278.0,1759,7513
100.0,139.0,278.0,5600,281
397.0,119.0,100.0,4571,5535
179.0,80.0,80.0,4567,6128
139.0,80.0,80.0,1802,4167
119.0,0.0,159.0,4123,4684
377.0,0.0,159.0,7365,3814
239.0,20.0,139.0,5826,6253
259.0,259.0,359.0,7137,4273
159.0,179.0,139.0,7324,5069
179.0,119.0,139.0,3768,6736
199.0,179.0,99.0,1742,6367
99.0,139.0,80.0,618,593
179.0,179.0,80.0,3060,7286
80.0,219.0,179.0,6017,7604
219.0,258.0,179.0,429,5525
139.0,199.0,119.0,4911,1598
199.0,139.0,99.0,934,6992
179.0,378.0,100.0,544,5080
239.0,398.0,179.0,205,6881
139.0,139.0,99.0,3777,6860
179.0,179.0,159.0,5696,855
99.0,119.0,139.0,5640,3509
219.0,219.0,259.0,2704,5433
199.0,199.0,139.0,7183,3272
219.0,239.0,139.0,7085,272
159.0,159.0,119.0,863,3508
219.0,119.0,199.0,4626,3243
219.0,139.0,457.0,3398,1501
139.0,159.0,139.0,6963,1286
80.0,80.0,139.0,732,984
179.0,139.0,199.0,7218,4842
159.0,219.0,179.0,504,3313
259.0,398.0,258.0,1487,1392
219.0,99.0,179.0,240,1145
179.0,139.0,80.0,658,3695
338.0,139.0,139.0,4034,1174
99.0,139.0,99.0,4167,5360
99.0,159.0,179.0,3309,6953
278.0,179.0,199.0,6564,1041
159.0,238.0,278.0,7559,7582
99.0,139.0,80.0,7408,5156
80.0,99.0,159.0,737,159
179.0,100.0,219.0,6488,379
99.0,99.0,179.0,6148,2123
99.0,139.0,179.0,1002,336
219.0,99.0,199.0,2116,7052
159.0,99.0,159.0,3182,4482
99.0,100.0,139.0,3374,1021
99.0,80.0,80.0,2757,3285
179.0,159.0,219.0,1744,4168
80.0,100.0,179.0,7050,4387
219.0,100.0,99.0,5425,4415
198.0,119.0,338.0,6276,178
80.0,99.0,159.0,4611,6050
219.0,159.0,139.0,321,6590
159.0,518.0,140.0,4966,5770
119.0,119.0,99.0,3354,1081
179.0,179.0,99.0,3288,6003
20.0,199.0,219.0,4675,4633
80.0,80.0,139.0,312,3159
318.0,298.0,298.0,4624,4833
259.0,219.0,159.0,3130,899
298.0,497.0,119.0,2014,4170
199.0,0.0,238.0,631,6807
159.0,437.0,199.0,90,1750
119.0,99.0,278.0,4494,2773
80.0,139.0,100.0,7429,1159
80.0,139.0,99.0,5308,5948
238.0,179.0,100.0,6363,575
139.0,139.0,199.0,1952,7505
99.0,119.0,80.0,5612,987
99.0,99.0,219.0,1204,2420
379.0,20.0,180.0,972,4237
119.0,179.0,99.0,4832,7404
139.0,119.0,99.0,4914,6745
239.0,139.0,179.0,3195,3780
179.0,179.0,80.0,7554,2250
80.0,239.0,239.0,775,5426
239.0,179.0,99.0,5069,4418
378.0,179.0,179.0,1005,581
159.0,99.0,139.0,733,997
200.0,20.0,259.0,825,202
119.0,99.0,278.0,1584,1377
417.0,139.0,119.0,6948,3574
258.0,0.0,239.0,3922,2660
