oz252,oz6,oz5,oz133,oz9,Key_0_0
0.983921,0.0,0.133333,0.0,0.0,8771
0.916621,0.0,0.0,0.0,0.0,4751
0.908762,0.0,0.2,0.0,0.0,3085
0.912105,0.0,0.2,0.0,0.0,4269
0.914634,0.0,0.0,0.0,0.0,1397
0.910027,0.0,0.0,0.0,0.0,3677
0.914544,0.171429,0.2,0.0,0.0,8686
0.911021,0.114286,0.133333,0.0,0.0,3216
0.911111,0.028571,0.066667,0.0,0.0,4557
0.912195,0.0,0.0,0.0,0.0,6137
0.89449,0.0,0.0,0.0,0.0,4225
0.945619,0.142857,0.066667,0.0,0.0,8699
0.914182,0.0,0.0,0.0,0.0,4822
0.99449,0.028571,0.133333,0.066667,0.181818,8104
0.914905,0.0,0.133333,0.0,0.0,2853
0.911472,0.171429,0.066667,0.0,0.0,353
0.908491,0.0,0.066667,0.0,0.227273,2613
0.913369,0.171429,0.133333,0.133333,0.0,8206
0.939657,0.028571,0.2,0.0,0.0,3658
0.907046,0.0,0.0,0.0,0.0,6698
0.905781,0.0,0.0,0.0,0.0,4155
0.906685,0.0,0.0,0.0,0.0,8371
0.90533,0.028571,0.066667,0.0,0.0,310
0.902981,0.0,0.0,0.0,0.0,8482
0.915266,0.085714,0.0,0.0,0.0,1204
0.913008,0.0,0.133333,0.0,0.0,1423
0.903613,0.057143,0.0,0.0,0.0,1074
0.909756,0.028571,0.133333,0.0,0.045455,5632
0.919964,0.028571,0.066667,0.0,0.045455,1573
0.909304,0.0,0.0,0.0,0.181818,2955
0.910208,0.0,0.0,0.0,0.0,5202
0.906504,0.028571,0.2,0.066667,0.0,8757
0.903613,0.0,0.0,0.0,0.0,4855
0.915808,0.0,0.0,0.0,0.0,2196
0.935592,0.0,0.066667,0.0,0.0,5136
0.905059,0.171429,0.0,0.0,0.0,5291
0.908762,0.0,0.066667,0.0,0.0,7263
0.906775,0.0,0.2,0.0,0.0,885
0.911653,0.085714,0.2,0.0,0.0,2969
0.920325,0.085714,0.133333,0.0,0.0,4123
0.909304,0.028571,0.0,0.0,0.0,3672
0.908943,0.0,0.0,0.0,0.0,3381
0.91626,0.0,0.0,0.0,0.0,4545
0.909395,0.085714,0.066667,0.066667,0.0,7037
0.914002,0.028571,0.2,0.0,0.0,8767
0.910298,0.0,0.0,0.0,0.0,7506
0.99991,0.0,0.0,0.0,0.0,4955
0.899458,0.0,0.0,0.2,0.681818,1855
0.909485,0.028571,0.2,0.0,0.0,8840
0.913008,0.028571,0.266667,0.066667,0.0,3272
0.919151,0.028571,0.066667,0.0,0.0,5690
0.909756,0.0,0.0,0.0,0.0,2630
0.920777,0.0,0.0,0.0,0.0,492
0.909756,0.0,0.0,0.0,0.0,6273
0.912466,0.028571,0.0,0.0,0.0,3851
0.921951,0.0,0.0,0.0,0.0,13
0.902891,0.0,0.066667,0.0,0.045455,5947
0.905872,0.0,0.133333,0.0,0.0,684
0.974074,0.2,0.2,0.0,0.0,1759
0.915899,0.0,0.0,0.0,0.0,7461
0.911834,0.0,0.0,0.0,0.0,1119
0.939747,0.0,0.0,0.0,0.0,133
0.910208,0.0,0.0,0.0,0.0,2381
0.919603,0.0,0.0,0.0,0.0,5827
0.912827,0.0,0.066667,0.0,0.0,2677
0.90813,0.057143,0.0,0.0,0.181818,1149
0.908311,0.257143,0.2,0.0,0.0,3738
0.907949,0.085714,0.066667,0.0,0.0,245
0.954472,0.028571,0.0,0.066667,0.0,6300
0.904065,0.0,0.0,0.0,0.0,7659
0.908672,0.0,0.133333,0.0,0.090909,7293
0.923668,0.114286,0.333333,0.0,0.0,603
0.913008,0.0,0.266667,0.0,0.0,380
0.910208,0.085714,0.2,0.0,0.0,8133
0.910208,0.0,0.0,0.0,0.0,6723
0.914724,0.057143,0.066667,0.0,0.0,6206
0.916441,0.0,0.2,0.0,0.0,1318
0.918248,0.085714,0.2,0.0,0.0,5443
0.915266,0.114286,0.133333,0.0,0.0,8406
0.915537,0.0,0.4,0.066667,0.0,8787
0.912466,0.0,0.2,0.0,0.0,5856
0.908853,0.028571,0.066667,0.0,0.0,2085
0.899729,0.0,0.0,0.0,0.0,6502
0.903794,0.0,0.2,0.0,0.0,4201
0.904426,0.057143,0.0,0.0,0.0,8659
0.907769,0.0,0.133333,0.0,0.0,3888
0.91617,0.0,0.2,0.0,0.0,5290
0.903613,0.057143,0.133333,0.0,0.0,6911
0.907949,0.257143,0.066667,0.0,0.0,2864
0.998193,0.085714,0.066667,0.0,0.0,5164
0.919061,0.028571,0.333333,0.066667,0.136364,3057
0.922945,0.0,0.066667,0.0,0.0,7191
0.912556,0.0,0.066667,0.0,0.0,8480
0.914182,0.057143,0.133333,0.0,0.0,4727
0.91364,0.0,0.133333,0.0,0.0,5021
0.913279,0.0,0.066667,0.066667,0.0,6744
0.909846,0.057143,0.133333,0.0,0.090909,7400
0.903433,0.0,0.0,0.0,0.0,210
0.908311,0.057143,0.0,0.2,0.045455,452
0.905962,0.0,0.066667,0.0,0.0,3971
0.914092,0.0,0.0,0.0,0.0,7126
0.907769,0.0,0.066667,0.0,0.0,109
0.903523,0.0,0.0,0.0,0.0,172
0.906775,0.0,0.0,0.0,0.0,3553
0.917615,0.0,0.0,0.0,0.0,72
0.894309,0.0,0.133333,0.0,0.0,3086
0.904607,0.0,0.133333,0.0,0.0,1564
0.909214,0.0,0.2,0.0,0.0,6940
0.910659,0.028571,0.0,0.0,0.0,774
0.911292,0.114286,0.133333,0.066667,0.0,906
0.89991,0.114286,0.066667,0.0,0.0,4839
0.917525,0.0,0.0,0.0,0.0,8561
0.979042,0.0,0.066667,0.0,0.0,5554
0.974435,0.0,0.0,0.0,0.0,3029
0.972177,0.0,0.0,0.0,0.0,309
0.906685,0.028571,0.066667,0.0,0.0,3819
0.910479,0.0,0.0,0.0,0.0,4934
0.909214,0.0,0.066667,0.0,0.0,8268
0.908762,0.0,0.0,0.0,0.0,3929
0.884011,0.057143,0.4,0.066667,0.272727,5439
0.901626,0.0,0.266667,0.133333,0.5,5873
0.94327,0.0,0.2,0.066667,0.363636,5036
0.909395,0.0,0.066667,0.0,0.0,8698
0.917073,0.028571,0.066667,0.0,0.0,1454
0.89729,0.028571,0.133333,0.0,0.0,6893
0.903975,0.0,0.133333,0.0,0.0,1530
0.908491,0.085714,0.533333,0.466667,0.0,7178
0.90533,0.0,0.133333,0.0,0.0,3110
0.908582,0.028571,0.066667,0.0,0.0,259
0.911021,0.085714,0.133333,0.0,0.0,8334
0.991147,0.0,0.133333,0.0,0.0,2174
0.910117,0.285714,0.066667,0.0,0.0,6618
0.916079,0.028571,0.0,0.0,0.0,4150
0.907498,0.028571,0.0,0.0,0.0,8225
0.906323,0.028571,0.066667,0.0,0.0,5566
0.909756,0.028571,0.0,0.0,0.0,7953
0.999458,0.0,0.0,0.0,0.0,6601
0.907046,0.0,0.066667,0.0,0.0,12
0.907498,0.0,0.0,0.0,0.0,3202
0.909214,0.0,0.0,0.0,0.0,202
0.918338,0.0,0.0,0.0,0.0,6550
0.998916,0.0,0.0,0.0,0.0,3607
0.907498,0.0,0.0,0.0,0.090909,5001
0.91617,0.057143,0.0,0.0,0.181818,4885
0.896567,0.028571,0.0,0.266667,0.0,193
0.942367,0.0,0.0,0.0,0.0,5910
0.899187,0.228571,0.0,0.0,0.0,4029
0.928997,0.0,0.0,0.0,0.0,4901
0.906323,0.0,0.133333,0.0,0.0,5602
0.908853,0.0,0.0,0.0,0.0,2852
0.977055,0.0,0.0,0.0,0.0,279
0.88907,0.057143,0.0,0.0,0.0,7983
0.956549,0.0,0.0,0.0,0.0,2197
0.930894,0.028571,0.0,0.0,0.0,6719
0.912918,0.028571,0.0,0.0,0.0,1418
0.923577,0.0,0.066667,0.0,0.0,5896
0.949322,0.0,0.066667,0.0,0.0,5284
0.903433,0.114286,0.2,0.0,0.0,1594
0.923035,0.057143,0.066667,0.0,0.0,5196
0.914815,0.0,0.0,0.0,0.0,8385
0.910298,0.0,0.133333,0.0,0.0,8820
0.916983,0.085714,0.133333,0.066667,0.0,7550
0.91075,0.171429,0.0,0.0,0.0,3998
0.887173,0.028571,0.0,0.0,0.0,3824
0.902168,0.057143,0.133333,0.0,0.0,1462
0.889883,0.057143,0.066667,0.0,0.0,3065
0.999097,0.057143,0.266667,0.0,0.0,528
0.90551,0.0,0.133333,0.066667,0.0,1366
0.91346,0.0,0.0,0.0,0.0,8071
0.952033,0.114286,0.2,0.066667,0.0,1045
0.906323,0.0,0.2,0.0,0.0,1106
0.912105,0.028571,0.0,0.0,0.0,3280
0.911292,0.057143,0.0,0.0,0.0,6236
0.899548,0.0,0.0,0.0,0.0,2518
0.906865,0.057143,0.133333,0.0,0.0,2901
0.941915,0.028571,0.0,0.266667,0.0,4415
0.999277,0.0,0.0,0.0,0.0,7317
0.908311,0.057143,0.0,0.0,0.0,237
0.920687,0.057143,0.0,0.0,0.0,2621
0.91093,0.0,0.0,0.0,0.0,6830
0.906775,0.028571,0.133333,0.066667,0.0,5233
0.908943,0.0,0.066667,0.0,0.0,7747
0.921319,0.0,0.0,0.0,0.0,7680
0.917435,0.028571,0.066667,0.066667,0.0,3302
