all/miniboone_table_1_2.ParticleID_0,all/miniboone_table_1_2.ParticleID_48,all/miniboone_table_1_2.ParticleID_37,all/miniboone_table_1_2.Key_1_2,Key_0_0
3.64617,-0.0418467,-4.17185,70571,42499
3.5256199999999995,0.213024,-3.92088,27816,27126
6.20701,3.09078,-3.0935,7457,38650
5.10692,1.83375,-2.74413,31651,33282
5.58338,1.66497,-4.48137,20097,61188
5.90099,2.00462,-2.31038,15790,41394
5.14203,0.924743,-2.8233200000000003,38730,9832
2.7109400000000003,0.0784596,-2.4144,2569,7652
6.03931,1.13523,-1.60385,15217,61027
3.25815,0.241003,-5.17598,70298,11909
2.5733200000000003,-0.135657,-1.10657,45680,38048
6.12873,3.80358,-2.81489,64438,42790
4.685169999999999,1.07123,-3.80501,52726,52154
2.81619,0.0707555,-4.47014,17857,51854
4.1150400000000005,0.254698,-4.65399,44653,23334
5.57839,1.62337,-1.73196,1210,72007
4.4662,2.22179,-2.64298,52530,41784
6.534730000000001,0.401936,-1.0259200000000002,11148,31541
4.47852,1.08443,-3.13505,37161,20179
4.95102,2.2158900000000004,-0.684288,337,46924
5.68185,1.92935,-2.34476,40204,32355
3.8072,0.0694602,-5.149830000000001,24604,55198
2.83333,0.130171,-2.30851,7140,2906
3.45392,-0.212421,-3.14695,31371,6308
4.304530000000001,1.99893,-3.21888,16692,42094
5.55829,1.43523,-2.16371,14069,31064
3.03461,-0.0770928,-3.96677,12265,48032
7.412960000000001,2.46413,-2.04385,27890,41970
3.5226300000000004,0.0934618999999999,-4.84773,7406,42412
3.07213,0.0319835,-4.38359,55433,38875
4.63424,0.804801,-2.90344,11293,23096
3.83125,0.8681030000000001,-1.8117,17506,44568
4.08892,1.07791,-2.951,31238,30227
3.56647,-0.13842,-3.89867,8129,61424
5.219,3.395,-2.92674,679,51871
4.53319,0.373861,-3.44725,2951,151
4.59341,1.30613,-3.6831,53020,29861
4.58655,-0.216523,-3.3697699999999995,24426,72197
4.88898,2.07788,-4.62564,30217,36428
3.73631,0.238813,-3.78567,7005,1989
5.93126,0.377143,-1.29242,56564,30826
3.68462,0.259726,-4.56476,50515,13365
3.88239,0.427515,-3.32601,38485,45867
4.27912,0.736965,-3.855280000000001,16022,59237
4.22492,1.29789,-3.0659400000000003,61373,26709
4.45333,0.914701,-3.38267,19074,31932
4.06305,-0.237629,-2.54651,72312,18576
4.40298,1.0562,-2.9041200000000003,15075,64145
2.881,0.341672,-1.72593,43128,23518
3.65418,-0.033594,-3.56195,5639,17000
5.66204,2.41495,-2.42824,49947,35752
2.49435,0.0273272,-2.52493,12183,2183
5.58411,2.00436,-2.54636,7475,16103
8.37522,-0.142071,-1.87881,3428,19292
4.33894,0.854102,-3.60886,22721,71599
4.11139,0.843115,-2.7633,4267,65775
5.3711,1.51625,-0.565718,6701,1801
4.5424,1.81826,-3.13725,52902,14141
3.61703,0.1836549999999999,-4.02435,67464,44468
4.43358,0.301934,-2.48117,37596,51868
3.46632,-0.0364942,-3.741130000000001,8881,38182
5.784590000000001,4.03717,-1.11201,34896,56460
4.8782,1.89803,-3.07616,60957,10533
3.45247,0.129653,-1.91961,60900,14782
5.301480000000001,2.46188,-1.88462,12179,16212
5.19271,3.06828,-2.01847,70227,17693
6.78192,8.66898,-0.505438,25636,46580
3.86299,-0.1260349999999999,-4.23974,72806,28792
3.25806,0.132841,-4.17668,32162,29603
5.38456,3.10525,-3.09711,68988,25850
3.64573,0.109638,-2.04818,66891,12373
5.09234,1.94548,-3.86474,2826,22407
3.77517,0.131326,-4.63707,266,36709
4.65855,0.8093020000000001,-1.34216,68138,32037
6.5547,6.909619999999999,-0.985398,21123,5624
5.92759,3.802,-2.70866,33028,3196
5.11067,0.8039569999999999,-2.55272,67676,2990
3.73622,0.256633,-5.262630000000001,56772,30347
3.70381,0.331309,-1.82406,48621,56150
5.648280000000001,6.10906,-1.55031,68699,32331
4.32664,0.937957,-3.19528,41201,31142
2.6913,0.246525,-4.29248,13367,44702
4.40904,2.03071,-4.19187,50751,19281
3.7249,0.2052719999999999,-1.02781,64759,6138
4.36601,0.6003,-3.49775,2952,24792
3.62048,-0.197191,-3.32738,18374,4511
3.51289,-0.322204,-2.97472,35700,53036
5.88157,6.30511,-3.26934,13618,50417
5.78978,2.26934,-2.2265900000000003,9504,45353
4.05451,1.12055,-3.91593,1693,14973
6.78587,-1.84062,-2.26007,31021,38232
2.52453,0.271839,-3.92068,52520,61782
5.94047,0.853715,-3.19695,3407,47439
3.60518,3.39836,-2.84382,31159,28825
5.83119,3.22058,-1.0817,16525,67046
4.1655,1.22444,-4.01531,11217,28753
6.4005,0.0404575999999999,-3.38695,70917,60103
4.32999,2.13023,-1.64262,38227,24480
5.89141,0.53955,-1.05733,75,58514
3.3258400000000004,-0.102944,-2.0893200000000003,68935,17634
3.96726,1.36948,-4.43981,52703,19796
4.16906,1.19872,-2.94408,25164,30401
3.9104,0.7574649999999999,-2.60573,37303,49377
3.25799,-0.126047,-2.97396,17653,25856
4.10561,0.0771403,-4.38151,39827,38890
3.64079,0.169041,-2.05456,43853,21045
3.223,-0.0413963,-1.95341,11599,31983
4.30915,3.66413,-3.3796800000000005,38934,38401
5.54044,3.17407,-3.08129,58758,56349
3.78934,-0.0878058,-2.57856,39962,827
5.96775,11.4477,-0.0786481,49786,15745
4.84897,0.00614788,-1.46662,71373,16500
2.94499,-0.186084,-2.39244,58606,41353
4.49884,-0.205337,-1.72658,19445,29870
3.23676,0.00210765,-3.90696,21394,64490
5.4387300000000005,4.8204,-3.73051,1829,13987
3.86203,0.488705,-2.65954,8875,43073
5.7302800000000005,2.42957,-1.97451,13704,53956
6.371580000000001,4.238519999999999,-0.6584,3088,46473
3.84405,2.67357,-1.87637,4140,14946
4.51457,1.11568,-2.07778,3532,17118
5.4021,-0.126327,-2.30306,7819,7572
2.74935,0.0852812,-3.84258,5892,66835
4.678640000000001,3.01598,-3.0806400000000003,5782,725
2.8586400000000003,-0.103873,-5.27514,9551,61565
3.97429,1.17349,-0.8920799999999999,34134,12561
6.16575,3.98457,-3.11403,713,1180
4.33982,0.78778,-4.62904,26178,67826
6.29657,2.25416,-0.921812,4801,23554
4.76507,4.90816,-2.6568,66422,14502
5.7990900000000005,-0.780586,-3.47545,27346,61766
2.89206,-0.0205488,-4.32706,38609,67663
4.0988,0.265945,-3.81889,56309,70733
5.10024,1.27359,-3.66087,17731,60426
2.97682,-0.124467,-5.7767800000000005,37449,4671
4.33518,2.20978,-3.20026,34133,46706
3.59932,0.61749,-2.01561,6669,45063
4.29824,0.46233,-2.13798,46190,17894
5.2240400000000005,0.819276,-3.32577,26676,44399
2.78967,0.0668686,-2.60846,69533,69041
4.51022,1.6467599999999998,-3.29137,50135,1519
5.7163900000000005,0.35457,-2.46317,26130,16747
3.87259,1.17144,-3.47961,48242,8025
4.1879800000000005,0.8359639999999999,-2.87162,44351,61552
3.76302,0.661775,-4.20239,22398,20816
3.94025,0.667529,-3.76331,33989,58594
4.21012,0.855339,-2.99917,22013,15577
3.1315,0.2293219999999999,-3.24078,43690,5687
2.94971,0.0980088,-3.9373,67905,46039
3.81072,-0.313176,-2.49133,59906,12406
5.46061,11.9699,-2.2438700000000003,32738,32415
4.06998,0.77986,-2.77297,23437,52888
3.20438,-0.0728977,-2.3157,69519,56221
5.00183,0.866082,-3.19956,825,3875
6.68473,-0.352142,-0.523057,36783,19797
6.02504,2.11481,-0.79904,1909,22642
6.26525,1.35618,-1.2482799999999998,13814,37485
3.88164,1.91341,-2.6886,5238,42174
6.50948,4.20541,-1.2381,50148,24539
4.44465,1.50317,-4.20569,54351,43363
4.881130000000001,1.2095200000000002,-2.63542,34882,19011
3.98312,1.19873,-1.98982,2251,23481
4.582330000000001,3.1913400000000003,-2.9947,58014,18860
3.92543,0.531069,-3.52444,27769,21597
4.10002,1.20166,-3.92192,61033,71796
4.20451,0.8263469999999999,-2.85421,25176,22692
4.6788300000000005,-0.0229277,-3.3999300000000003,898,4552
4.26901,0.606259,-3.45278,65548,43016
6.06166,1.96393,-2.6936,55811,61686
4.304530000000001,2.41876,-3.78223,50066,11937
7.0846100000000005,-0.435826,-2.0697,22623,49884
4.62671,0.955413,-4.34381,31203,28750
4.67952,0.997637,-4.07647,20466,46021
3.82484,0.381114,-4.34443,66753,51352
5.11293,1.78457,-2.73383,27133,24579
3.69622,0.532507,-3.64553,43495,64203
4.306109999999999,0.6400710000000001,-3.15219,20019,23247
3.3981800000000004,-0.0887452,-4.51254,50468,71160
3.78286,0.8893530000000001,-3.90154,54096,7229
4.4999,0.3473429999999999,-2.83949,36964,31929
5.95581,7.13315,-1.12325,56574,49922
4.02613,0.177938,-3.24193,60349,7335
4.93675,1.06351,-2.65751,68379,26896
3.52082,-0.0562204,-4.47162,36981,43291
4.25232,3.37826,-3.12726,1661,6125
4.16579,0.109646,-1.85385,35679,45845
4.24005,0.258736,-3.46172,14178,65911
4.15644,0.71199,-3.58843,59054,56992
6.87553,1.7811,-2.3807,6616,56376
3.59997,0.7205729999999999,-3.08537,12860,24518
3.68088,0.109367,-0.99844,54851,37796
6.1357800000000005,12.4428,-1.87335,39647,49764
3.5418,1.87109,-2.1113,69765,10599
4.48976,1.89648,-2.91318,10975,47960
5.59468,9.74087,-5.557169999999999,43324,11604
5.57571,0.198538,-1.42519,39468,14304
3.95627,1.17899,-3.4027,10358,41164
4.97556,2.4771400000000003,-2.00812,493,69049
4.22466,1.82826,-4.32222,19552,17808
2.93549,0.0563748,-2.01743,55393,510
2.97927,-0.0668222,-4.29364,24724,65770
4.01872,0.0484731,-1.77138,18783,59775
5.96989,0.414508,-2.41961,1951,20403
3.0678400000000003,0.0434113,-2.59168,6980,33511
5.010759999999999,1.17929,-2.67893,50886,5065
3.17852,0.00529132,-1.42099,12954,22569
4.35203,1.59975,-4.02452,47285,21285
4.45801,1.53407,-3.36556,63444,31770
6.36502,4.497240000000001,-3.01025,38512,65118
5.98454,1.73578,-2.5952,37339,50898
3.2923400000000003,-0.05127,-4.02816,40565,4183
4.18032,0.5685399999999999,-2.93128,29484,45333
3.53496,0.365432,-4.26105,5937,33316
4.21668,0.650806,-3.41016,44956,51520
3.59075,-0.0643194,-4.3909400000000005,67284,7238
4.49686,-0.23048,-3.14565,39012,56204
3.4958400000000003,0.254428,-2.90715,10501,52568
5.01079,0.111795,-1.33942,42899,16863
4.308330000000001,0.6964229999999999,-2.99031,31699,19218
5.6774,3.10854,-2.3646700000000003,48031,15065
4.07808,-0.0979985,-2.88763,15395,51817
3.78439,0.197007,-3.23519,48662,11677
3.2109,-0.0743958,-3.2541900000000004,19878,72280
4.50871,1.90271,-3.58385,802,20555
5.60858,2.15083,-2.44728,41741,66533
5.128,0.946684,-2.75654,24708,8856
5.77945,2.63245,-3.29081,43587,7505
4.55526,1.52514,-3.11764,71580,72982
4.50776,0.920803,-3.81673,37808,55988
3.20546,0.0681359,-4.57445,14097,19831
5.14221,2.6764900000000003,-3.18492,36802,19016
5.0410900000000005,2.00465,-1.62122,25483,21413
3.63657,0.795894,-2.15442,61921,64377
6.64692,2.11639,-1.60793,47722,39310
3.29627,-0.3099929999999999,-2.46895,24585,22014
3.4972800000000004,0.353753,-3.52321,34662,67615
4.85629,1.91754,-3.11863,22642,55961
4.28602,2.1397,-2.09323,25660,36249
5.44856,-0.158317,-3.97353,3138,15336
3.69414,0.437214,-2.6851,31391,2422
2.95396,0.216048,-1.45991,40121,63425
3.58575,1.50471,-3.2536,11503,14077
3.87626,0.139245,-2.13698,11504,27639
4.17024,0.793687,-2.65115,57394,22865
4.64476,1.26857,-3.05514,25421,6984
4.82827,0.540818,-3.19888,62517,12697
3.52592,-0.0845457,-4.23806,56651,40311
5.57585,2.58087,-2.23711,43593,5914
3.74503,-0.1051049999999999,-3.5165900000000003,10058,72433
6.08548,6.14754,-3.0551,67366,17736
3.3204800000000003,-0.1792119999999999,-3.80202,6167,62935
2.79827,-0.00324824,-5.03065,61564,29655
3.34492,0.0723851,-6.22409,51522,8707
3.9335,0.203184,-3.76575,15263,16865
5.47993,9.22168,-2.11882,39857,42186
4.39424,1.20268,-1.37333,14620,43627
4.56306,3.06911,-1.15166,47132,15772
5.706169999999999,8.13584,-1.52772,59978,8759
7.90302,0.961058,-2.49438,40208,52136
2.78446,-0.0157496,-3.79895,16571,51578
4.32291,2.083,-2.81992,32137,33415
5.60152,1.50964,-2.71056,16889,663
4.59923,1.30485,-2.99508,16899,6850
4.78348,3.31071,-3.31795,7294,54386
2.82903,-0.0858554,-6.09851,47260,27261
4.8586800000000006,1.57529,-2.8997,44317,58663
5.14088,0.8762639999999999,-3.47729,43696,27239
