all/superconduct_table_0_0.criticaltemp,all/superconduct_table_0_0.gmean_fie,all/superconduct_table_0_0.entropy_ThermalConductivity,all/superconduct_table_0_0.mean_fie,all/superconduct_table_0_0.mean_atomic_radius,all/superconduct_table_0_0.wtd_gmean_ElectronAffinity,Key_0_0
5.0,727.009147122647,0.547081157198241,730.65,172.5,10.8976074756898,9131
97.0,838.584884977272,0.270717616788772,891.65,154.25,50.5325898047769,17940
62.1,771.891022146416,0.785623847019654,816.36,160.0,84.2373451332547,12451
60.0,694.260168742105,1.29479961856866,726.442857142857,161.142857142857,65.1466663834037,5991
4.0,822.540740093838,1.21450684383466,860.62,143.4,62.1989929810009,14400
17.1,752.670059962777,1.25733565430163,763.2,154.0,24.8341436653562,2032
36.6,734.219624171273,0.403693221013522,787.05,151.75,98.6115040499153,7843
9.2,732.889533225699,1.21832863725357,754.42,150.8,65.9110196899252,19528
3.48,753.41604423429,0.982841094507259,777.0,139.0,108.296577032603,18059
4.1,622.088996848522,0.584085931759361,628.15,174.5,39.4695444408519,20177
71.0,744.894599675854,0.755118630693736,786.82,162.0,85.6645092049451,7299
30.4,734.219624171273,0.403693221013522,787.05,151.75,96.9983566293431,17515
2.24,600.776668376594,0.804488931443885,605.866666666667,171.333333333333,39.4493626087032,1988
37.8,760.325724702929,0.757305527387343,760.833333333333,125.666666666667,10.8879518792092,8515
3.1,763.150297669287,0.757814297010619,785.133333333333,163.0,84.3491525765403,20706
67.0,771.891022146416,0.785623847019654,816.36,160.0,85.2368516401397,20743
50.0,695.00800677857,1.1384659946435,730.657142857143,165.428571428571,40.8347221879598,4175
11.7,672.534941135036,0.457810241617619,723.74,179.8,89.8352966612144,10081
18.0,709.510179381666,1.09473892216642,710.6,156.0,92.713773457791,16379
11.0,737.212686914492,1.0739343190892,769.966666666667,161.333333333333,81.4057978709191,7360
5.2,700.521498599436,0.642912439665801,711.1,144.5,29.6762848669189,4857
3.9,893.81906477511,0.074936648578802,899.833333333333,130.0,108.951819766204,3745
16.0,729.399694442112,0.491570468528205,771.38,157.2,79.8404346626508,16262
35.0,714.364318352418,0.756006559332943,754.2,160.666666666667,79.7131241668265,2617
82.0,667.743306224318,0.92595322763717,709.6,185.5,89.0717685820097,4165
78.0,741.629348855485,0.336261915781173,794.0,164.5,85.867609721279,3384
2.84,706.171494751806,0.471890285940698,707.95,164.0,9.69187916420843,12367
11.0,726.276975830068,0.257209773933062,781.2,156.25,103.94732073931,21069
80.0,707.571377904226,1.26115478461734,738.942857142857,151.285714285714,31.7121461509907,16614
15.55,727.545492050633,1.14017154998709,742.18,164.0,32.3171353068012,19199
27.0,804.315520928665,1.31684490114041,843.5,141.6,41.4954550757668,19077
2.4,759.413629570968,0.859011718647108,767.766666666667,192.333333333333,84.6948682430608,8004
0.96,679.045117732386,0.830925405386758,687.766666666667,151.666666666667,96.4317481561227,14592
1.67,669.370779165031,0.362210557135449,670.55,181.0,59.1671658685206,10857
9.0,1041.44817441868,0.0110057380206435,1042.35,77.0,176.955079045502,18026
2.0,841.176143869864,0.519023055245486,890.566666666667,132.333333333333,108.937813466253,4021
94.0,714.946183650756,0.336261915781173,773.025,163.0,89.9629157631912,659
33.15,862.020391904407,0.918873488986453,874.4,99.6666666666667,11.4325394614938,7726
8.2,844.900964610645,0.0394097371239318,849.75,129.5,58.1360473372588,5709
0.065,627.612109507138,0.408533102692035,630.0,199.0,20.0675548932385,11400
77.9,717.391974269734,1.01630266987117,759.057142857143,165.428571428571,81.3374756610524,9942
87.2,822.048464506689,0.571025203300676,865.14,161.0,48.7602432711781,8181
11.6,782.426574553118,1.12796277186127,796.5,132.0,60.7077776197729,3178
22.5,739.396277127473,1.31038629531548,770.614285714286,161.857142857143,29.294651878853,13031
0.49,607.53888764424,0.317067826487418,616.25,195.0,97.8111865881968,4513
80.0,713.29264967824,0.308147989812345,771.8,173.25,60.6524135059113,3516
3.07,868.399896384981,0.690479077523004,868.4,160.0,178.167094098354,15286
1.87,841.283927239286,0.718841501963498,851.625,139.25,138.51417665004,9099
1.95,713.839445747171,1.00835654182105,718.233333333333,169.0,29.5211582689657,891
0.855,905.8,0.0,905.8,142.0,1.5,11043
14.0,765.715174475879,0.834028206522204,810.8,149.8,99.2231984754294,9458
69.0,741.629348855485,0.336261915781173,794.0,164.5,85.5326869205608,12880
21.0,674.697396698269,0.43134791899332,725.46,186.2,88.8253251309612,8586
8.6,870.218046417038,0.1739829369704,875.7,122.0,57.7086046667546,10137
11.1,708.714107174427,1.0124903023468,733.633333333333,153.333333333333,42.0305559956903,19734
88.0,679.192935234654,1.08154952987922,718.666666666667,168.166666666667,27.4874205242116,19292
7.83,728.706195939077,0.636514168294813,731.9,142.5,41.1466144882016,3030
6.49,931.454897391478,0.0252407433859752,960.033333333333,124.0,137.089642143434,15514
16.3,771.128202952602,1.23071932934229,818.8,156.8,49.4679074113691,132
2.5,661.38925088692,1.07980794718617,702.7,178.333333333333,39.0235974095302,665
8.5,755.024994731199,0.858425733255541,761.633333333333,158.333333333333,83.3874505045157,15348
79.0,690.328114777212,0.835026704071475,738.22,167.0,87.2044643477783,14116
3.6,805.228134980334,0.888792657357565,848.06,139.6,45.9576286795845,7292
60.4,763.06180897189,0.775643670812862,809.48,162.8,86.9815523380345,13417
14.3,852.858789145939,0.194158290628553,856.166666666667,127.333333333333,57.706318477061,7304
126.6,781.483207751268,0.810628981234087,831.2,162.2,48.4375567477684,9742
6.88,828.680478167292,1.24281741319972,839.85,112.0,48.1299887866961,17514
4.1,672.534941135036,0.457810241617619,723.74,179.8,88.6588738080204,14615
19.8,708.3233403671,0.85335924532389,753.08,170.4,81.7006607781107,4248
90.5,711.942394390792,1.07963798909688,755.0,172.142857142857,61.665172763363,19158
4.0,713.746168891336,0.942696665715124,748.933333333333,163.666666666667,74.0413478807179,18598
0.75,666.094387851699,0.818995510841261,673.233333333333,174.666666666667,109.057609293581,19993
65.0,800.37127572111,0.809436666799982,852.34,145.0,56.6034499987708,19433
0.37,651.248984644122,0.560127234322942,651.25,168.5,57.0662204443339,5835
0.88,640.409361034902,1.21681557630102,648.1,160.5,37.1360798188056,13245
11.3,688.951485955288,0.391952513105821,689.6,189.5,58.6553992365005,8923
