Key_0_0,oz250,oz185,oz126,oz10,Key_1_1
8771,0.116674,0.0,0.0,0.0,3516
4751,0.05328,0.0,0.0,0.0,8259
3085,0.05328,0.0,0.0,0.0,7554
4269,0.0,0.0,0.2,0.0,6334
1397,0.0,0.0,0.0,0.0,85
3677,0.080467,0.0,0.0,0.0,5892
8686,0.063393,0.0,0.2,0.0,4105
3216,0.084369,0.0,0.133333,0.0,6539
4557,0.103065,0.0,0.0,0.0,1400
6137,0.0839,0.0,0.0,0.0,6670
4225,0.345839,0.0,0.0,0.0,8746
8699,0.05328,0.0,0.066667,0.0,6054
4822,0.146794,0.0,0.0,0.0,3054
8104,0.159841,0.0,0.133333,0.166667,2179
2853,0.132717,0.0,0.133333,0.0,417
353,0.08209,0.083333,0.066667,0.0,8806
2613,0.063393,0.0,0.066667,0.0,6583
8206,0.343467,0.0,0.133333,0.0,663
3658,0.179131,0.0,0.2,0.0,6729
6698,0.0839,0.0,0.0,0.0,2888
4155,0.130782,0.0,0.0,0.0,5600
8371,0.159841,0.0,0.0,0.0,6361
310,0.122323,0.083333,0.066667,0.0,486
8482,0.049285,0.0,0.0,0.0,7525
1204,0.05328,0.0,0.0,0.0,1349
1423,0.0,0.0,0.133333,0.0,7138
1074,0.106561,0.0,0.0,0.0,897
5632,0.198764,0.083333,0.066667,0.041667,7069
1573,0.198764,0.083333,0.066667,0.041667,397
2955,0.203945,0.0,0.0,0.0,6614
5202,0.146794,0.0,0.0,0.0,5126
8757,0.08209,0.083333,0.2,0.0,5700
4855,0.226887,0.0,0.0,0.0,8403
2196,0.1109,0.0,0.0,0.0,1154
5136,0.141426,0.0,0.066667,0.0,3833
5291,0.0,0.0,0.0,0.0,6230
7263,0.040233,0.0,0.066667,0.0,5664
885,0.040233,0.0,0.2,0.0,4364
2969,0.05328,0.0,0.2,0.0,886
4123,0.05328,0.0,0.133333,0.0,1163
3672,0.146794,0.0,0.0,0.0,8139
3381,0.148511,0.0,0.0,0.0,4780
4545,0.05328,0.0,0.0,0.0,3121
7037,0.0,0.0,0.066667,0.0,5655
8767,0.156346,0.083333,0.2,0.0,1499
7506,0.148511,0.0,0.0,0.0,3857
4955,0.222767,0.0,0.0,0.0,8120
1855,0.130782,0.0,0.0,0.125,3967
8840,0.038579,0.0,0.2,0.0,209
3272,0.1109,0.083333,0.2,0.0,2699
5690,0.05328,0.0,0.066667,0.0,4338
2630,0.040233,0.0,0.0,0.0,1279
492,0.132717,0.0,0.0,0.0,2209
6273,0.05328,0.0,0.0,0.0,3282
3851,0.106561,0.0,0.0,0.0,5641
13,0.05328,0.0,0.0,0.0,7183
5947,0.08209,0.083333,0.066667,0.0,8695
684,0.05328,0.0,0.133333,0.0,4456
1759,0.167894,0.0,0.2,0.0,1474
7461,0.153443,0.0,0.0,0.0,4660
1119,0.100162,0.0,0.0,0.0,6166
133,0.140396,0.0,0.0,0.0,8062
2381,0.129752,0.0,0.0,0.0,3665
5827,0.129752,0.0,0.0,0.0,945
2677,0.093514,0.0,0.066667,0.0,2685
1149,0.271334,0.0,0.0,0.0,981
3738,0.086429,0.0,0.2,0.0,3275
245,0.106561,0.0,0.066667,0.0,4185
6300,0.093514,0.0,0.0,0.0,8275
7659,0.188651,0.083333,0.0,0.0,7287
7293,0.05328,0.0,0.133333,0.041667,837
603,0.0,0.0,0.333333,0.0,719
380,0.05328,0.0,0.266667,0.0,8251
