Key_0_0,oz173,oz131,oz178,oz177,Key_1_3
8771,0.0,0.0,0.0,0.0,7855
4751,0.0,0.0,0.0,0.0,6187
3085,0.0,0.0,0.0,0.0,5236
4269,0.0,0.0,0.0,0.0,5458
1397,0.0,0.0,0.0,0.0,7782
3677,0.0,0.0,0.0,0.0,4401
8686,0.0,0.1,0.0,0.111111,4390
3216,0.0,0.15,0.0,0.166667,3663
4557,0.0,0.0,0.0,0.055556,1577
6137,0.0,0.0,0.0,0.0,6784
4225,0.0,0.0,0.0,0.0,5143
8699,0.0,0.0,0.0,0.0,8598
4822,0.0,0.0,0.0,0.0,3195
8104,0.0,0.0,0.0,0.083333,2542
2853,0.0,0.0,0.0,0.0,6868
353,0.0,0.1,0.0,0.138889,8527
2613,0.0,0.1,0.0,0.111111,907
8206,0.0,0.2,0.0,0.166667,7239
3658,0.0,0.05,0.0,0.027778,6875
6698,0.0,0.0,0.0,0.0,4678
4155,0.0,0.0,0.0,0.0,3563
8371,0.0,0.0,0.0,0.0,2661
310,0.0,0.05,0.0,0.083333,5030
8482,0.0,0.0,0.0,0.0,6224
1204,0.0,0.0,0.0,0.0,2216
1423,0.0,0.0,0.0,0.0,4942
1074,0.0,0.1,0.0,0.0,2913
5632,0.0,0.1,0.0,0.083333,4784
1573,0.0,0.1,0.0,0.083333,4100
2955,0.0,0.2,0.0,0.0,6911
5202,0.0,0.0,0.0,0.0,5755
8757,0.0,0.0,0.0,0.25,5429
4855,0.0,0.0,0.0,0.0,7584
2196,0.0,0.0,0.0,0.0,7303
5136,0.0,0.0,0.0,0.083333,8585
5291,0.0,0.3,0.0,0.0,7731
7263,0.0,0.0,0.0,0.0,5139
885,0.0,0.0,0.0,0.166667,8590
2969,0.0,0.0,0.0,0.0,3051
4123,0.0,0.0,0.0,0.0,4625
3672,0.0,0.0,0.0,0.055556,1730
3381,0.0,0.0,0.0,0.0,3826
4545,0.0,0.0,0.0,0.0,5435
7037,0.0,0.05,0.0,0.055556,3108
8767,0.0,0.0,0.0,0.138889,3845
7506,0.0,0.0,0.0,0.0,1838
4955,0.0,0.0,0.0,0.027778,7334
1855,0.0,0.0,0.0,0.333333,2924
8840,0.0,0.0,0.0,0.138889,4444
3272,0.0,0.0,0.0,0.138889,2570
5690,0.0,0.0,0.0,0.138889,898
2630,0.0,0.0,0.0,0.0,4442
492,0.0,0.0,0.0,0.0,8121
6273,0.0,0.0,0.0,0.0,7515
3851,0.0,0.0,0.0,0.0,2467
13,0.0,0.0,0.0,0.0,2135
5947,0.0,0.0,0.0,0.083333,3308
684,0.0,0.0,0.0,0.166667,2936
1759,0.0,0.25,0.0,0.222222,6188
7461,0.0,0.0,0.0,0.0,8460
1119,0.0,0.0,0.0,0.0,6152
133,0.0,0.0,0.0,0.0,2384
2381,0.0,0.0,0.0,0.0,7280
5827,0.0,0.0,0.0,0.0,4573
2677,0.0,0.0,0.0,0.083333,6537
1149,0.0,0.25,0.0,0.0,7336
3738,0.0,0.15,0.0,0.166667,7061
245,0.0,0.0,0.0,0.0,8803
6300,0.0,0.0,0.0,0.0,5373
7659,0.0,0.0,0.0,0.0,8068
7293,0.0,0.0,0.0,0.055556,772
603,0.0,0.0,0.0,0.194444,8191
380,0.0,0.0,0.0,0.083333,2908
8133,0.0,0.0,0.0,0.0,384
6723,0.0,0.0,0.0,0.0,5452
6206,0.0,0.0,0.0,0.055556,2960
1318,0.083333,0.0,0.25,0.0,6686
5443,0.083333,0.1,0.166667,0.166667,8863
8406,0.0,0.15,0.166667,0.166667,2051
8787,0.0,0.0,0.0,0.0,4180
5856,0.0,0.0,0.0,0.111111,636
2085,0.0,0.0,0.0,0.055556,3122
6502,0.0,0.0,0.0,0.0,5696
4201,0.0,0.0,0.0,0.0,1640
8659,0.0,0.1,0.0,0.0,8007
3888,0.0,0.0,0.0,0.166667,8609
5290,0.0,0.0,0.0,0.0,3291
6911,0.0,0.1,0.0,0.166667,69
2864,0.0,0.05,0.0,0.055556,3217
5164,0.0,0.1,0.0,0.055556,207
3057,0.0,0.05,0.0,0.222222,1329
7191,0.0,0.0,0.0,0.0,7558
8480,0.0,0.0,0.0,0.0,253
4727,0.0,0.05,0.0,0.166667,5564
