all/eyemove_table_1_2.firstPassFixDur,all/eyemove_table_1_2.lineNo,all/eyemove_table_1_2.assgNo,all/eyemove_table_1_2.lineNo.1,Key_0_0
179.0,241.0,7.0,241.0,1353
119.0,3396.0,103.0,3396.0,5612
398.0,1607.0,48.0,1607.0,1122
219.0,10537.0,321.0,10537.0,2041
258.0,6314.0,186.0,6314.0,656
239.0,2526.0,78.0,2526.0,33
199.0,9050.0,284.0,9050.0,2872
99.0,1042.0,31.0,1042.0,2997
439.0,2903.0,88.0,2903.0,1463
239.0,3011.0,92.0,3011.0,4049
139.0,9712.0,299.0,9712.0,219
99.0,6853.0,206.0,6853.0,1754
139.0,8337.0,261.0,8337.0,4724
338.0,6195.0,183.0,6195.0,7100
139.0,7788.0,240.0,7788.0,3435
199.0,6180.0,182.0,6180.0,2118
278.0,7666.0,236.0,7666.0,3588
139.0,9433.0,292.0,9433.0,5887
199.0,8179.0,255.0,8179.0,7006
179.0,5873.0,174.0,5873.0,1722
139.0,9565.0,295.0,9565.0,3801
199.0,8840.0,279.0,8840.0,4384
179.0,863.0,26.0,863.0,188
139.0,1944.0,61.0,1944.0,5133
99.0,6047.0,179.0,6047.0,6169
179.0,10809.0,333.0,10809.0,705
99.0,6933.0,210.0,6933.0,143
298.0,658.0,21.0,658.0,5073
100.0,9940.0,305.0,9940.0,3167
139.0,10213.0,311.0,10213.0,2621
358.0,10753.0,331.0,10753.0,3720
99.0,9491.0,293.0,9491.0,7168
199.0,1276.0,41.0,1276.0,4630
139.0,4620.0,143.0,4620.0,5796
258.0,810.0,24.0,810.0,414
298.0,1214.0,37.0,1214.0,3725
259.0,10051.0,307.0,10051.0,5338
80.0,10927.0,336.0,10927.0,1641
179.0,4622.0,143.0,4622.0,7055
119.0,1602.0,48.0,1602.0,2538
159.0,7010.0,212.0,7010.0,534
119.0,4934.0,150.0,4934.0,734
179.0,7509.0,229.0,7509.0,7492
338.0,3150.0,96.0,3150.0,3811
219.0,149.0,5.0,149.0,3908
199.0,8946.0,282.0,8946.0,1536
299.0,2974.0,91.0,2974.0,7016
99.0,4288.0,135.0,4288.0,7248
179.0,4145.0,133.0,4145.0,1654
99.0,6099.0,180.0,6099.0,7513
100.0,995.0,30.0,995.0,281
397.0,10040.0,307.0,10040.0,5535
99.0,10538.0,321.0,10538.0,6128
139.0,6736.0,202.0,6736.0,4167
99.0,6582.0,195.0,6582.0,4684
377.0,8150.0,255.0,8150.0,3814
239.0,2367.0,75.0,2367.0,6253
299.0,2374.0,75.0,2374.0,4273
159.0,8443.0,266.0,8443.0,5069
139.0,9516.0,293.0,9516.0,6736
199.0,8612.0,273.0,8612.0,6367
99.0,6729.0,201.0,6729.0,593
179.0,1443.0,44.0,1443.0,7286
80.0,9389.0,291.0,9389.0,7604
219.0,4053.0,130.0,4053.0,5525
139.0,8986.0,283.0,8986.0,1598
199.0,5732.0,169.0,5732.0,6992
179.0,10905.0,336.0,10905.0,5080
